Freguesia,Partido,Percentagem,Percentagem de Votos Válidos,Votos,Concelho,Distrito,Região
Panoias e Conceição,PTP,0.0,0.0,0,Ourique,Beja,Alentejo
Brinches,PS,43.04,44.53,167,Serpa,Beja,Alentejo
Brinches,PCP-PEV,31.19,32.27,121,Serpa,Beja,Alentejo
Brinches,B.E.,7.47,7.73,29,Serpa,Beja,Alentejo
Brinches,PPD/PSD,6.96,7.2,27,Serpa,Beja,Alentejo
Brinches,CH,2.84,2.93,11,Serpa,Beja,Alentejo
Brinches,PCTP/MRPP,1.8,1.87,7,Serpa,Beja,Alentejo
Brinches,CDS-PP,1.55,1.6,6,Serpa,Beja,Alentejo
Brinches,PAN,1.03,1.07,4,Serpa,Beja,Alentejo
Brinches,IL,0.26,0.27,1,Serpa,Beja,Alentejo
Brinches,L,0.26,0.27,1,Serpa,Beja,Alentejo
Brinches,PNR,0.26,0.27,1,Serpa,Beja,Alentejo
Brinches,A,0.0,0.0,0,Serpa,Beja,Alentejo
Brinches,MPT,0.0,0.0,0,Serpa,Beja,Alentejo
Brinches,NC,0.0,0.0,0,Serpa,Beja,Alentejo
Brinches,PDR,0.0,0.0,0,Serpa,Beja,Alentejo
Brinches,PPM,0.0,0.0,0,Serpa,Beja,Alentejo
Brinches,PTP,0.0,0.0,0,Serpa,Beja,Alentejo
Pias,PCP-PEV,54.07,55.9,658,Serpa,Beja,Alentejo
Pias,PS,23.34,24.13,284,Serpa,Beja,Alentejo
Pias,B.E.,5.67,5.86,69,Serpa,Beja,Alentejo
Pias,PPD/PSD,5.59,5.78,68,Serpa,Beja,Alentejo
Pias,CH,2.3,2.38,28,Serpa,Beja,Alentejo
Pias,PCTP/MRPP,1.81,1.87,22,Serpa,Beja,Alentejo
Pias,CDS-PP,1.64,1.7,20,Serpa,Beja,Alentejo
Pias,PAN,0.82,0.85,10,Serpa,Beja,Alentejo
Pias,IL,0.58,0.59,7,Serpa,Beja,Alentejo
Pias,L,0.41,0.42,5,Serpa,Beja,Alentejo
Pias,A,0.16,0.17,2,Serpa,Beja,Alentejo
Pias,MPT,0.08,0.08,1,Serpa,Beja,Alentejo
Pias,PDR,0.08,0.08,1,Serpa,Beja,Alentejo
Pias,PNR,0.08,0.08,1,Serpa,Beja,Alentejo
Pias,PTP,0.08,0.08,1,Serpa,Beja,Alentejo
Pias,NC,0.0,0.0,0,Serpa,Beja,Alentejo
Pias,PPM,0.0,0.0,0,Serpa,Beja,Alentejo
Vila Verde de Ficalho,PS,46.47,47.89,329,Serpa,Beja,Alentejo
Vila Verde de Ficalho,PCP-PEV,29.94,30.86,212,Serpa,Beja,Alentejo
Vila Verde de Ficalho,PPD/PSD,8.19,8.44,58,Serpa,Beja,Alentejo
Vila Verde de Ficalho,B.E.,4.1,4.22,29,Serpa,Beja,Alentejo
Vila Verde de Ficalho,CDS-PP,2.26,2.33,16,Serpa,Beja,Alentejo
Vila Verde de Ficalho,PAN,1.98,2.04,14,Serpa,Beja,Alentejo
Vila Verde de Ficalho,PCTP/MRPP,1.98,2.04,14,Serpa,Beja,Alentejo
Vila Verde de Ficalho,CH,0.85,0.87,6,Serpa,Beja,Alentejo
Vila Verde de Ficalho,PNR,0.42,0.44,3,Serpa,Beja,Alentejo
Vila Verde de Ficalho,L,0.28,0.29,2,Serpa,Beja,Alentejo
Vila Verde de Ficalho,A,0.14,0.15,1,Serpa,Beja,Alentejo
Vila Verde de Ficalho,IL,0.14,0.15,1,Serpa,Beja,Alentejo
Vila Verde de Ficalho,MPT,0.14,0.15,1,Serpa,Beja,Alentejo
Vila Verde de Ficalho,NC,0.14,0.15,1,Serpa,Beja,Alentejo
Vila Verde de Ficalho,PDR,0.0,0.0,0,Serpa,Beja,Alentejo
Vila Verde de Ficalho,PPM,0.0,0.0,0,Serpa,Beja,Alentejo
Vila Verde de Ficalho,PTP,0.0,0.0,0,Serpa,Beja,Alentejo
Serpa (Salvador e Santa Maria),PS,38.82,40.24,979,Serpa,Beja,Alentejo
Serpa (Salvador e Santa Maria),PCP-PEV,19.47,20.18,491,Serpa,Beja,Alentejo
Serpa (Salvador e Santa Maria),PPD/PSD,16.57,17.18,418,Serpa,Beja,Alentejo
Serpa (Salvador e Santa Maria),B.E.,8.8,9.12,222,Serpa,Beja,Alentejo
Serpa (Salvador e Santa Maria),CDS-PP,3.97,4.11,100,Serpa,Beja,Alentejo
Serpa (Salvador e Santa Maria),CH,2.5,2.59,63,Serpa,Beja,Alentejo
Serpa (Salvador e Santa Maria),PAN,2.22,2.3,56,Serpa,Beja,Alentejo
Serpa (Salvador e Santa Maria),PCTP/MRPP,0.87,0.9,22,Serpa,Beja,Alentejo
Serpa (Salvador e Santa Maria),A,0.71,0.74,18,Serpa,Beja,Alentejo
Serpa (Salvador e Santa Maria),L,0.56,0.58,14,Serpa,Beja,Alentejo
Serpa (Salvador e Santa Maria),IL,0.52,0.53,13,Serpa,Beja,Alentejo
Serpa (Salvador e Santa Maria),PDR,0.4,0.41,10,Serpa,Beja,Alentejo
Serpa (Salvador e Santa Maria),NC,0.32,0.33,8,Serpa,Beja,Alentejo
Serpa (Salvador e Santa Maria),PNR,0.28,0.29,7,Serpa,Beja,Alentejo
Serpa (Salvador e Santa Maria),MPT,0.2,0.21,5,Serpa,Beja,Alentejo
Serpa (Salvador e Santa Maria),PTP,0.16,0.16,4,Serpa,Beja,Alentejo
Serpa (Salvador e Santa Maria),PPM,0.12,0.12,3,Serpa,Beja,Alentejo
Vila Nova de São Bento e Vale de Vargo,PCP-PEV,41.78,43.39,709,Serpa,Beja,Alentejo
Vila Nova de São Bento e Vale de Vargo,PS,28.11,29.19,477,Serpa,Beja,Alentejo
Vila Nova de São Bento e Vale de Vargo,PPD/PSD,11.08,11.51,188,Serpa,Beja,Alentejo
Vila Nova de São Bento e Vale de Vargo,B.E.,5.19,5.39,88,Serpa,Beja,Alentejo
Vila Nova de São Bento e Vale de Vargo,CDS-PP,2.65,2.75,45,Serpa,Beja,Alentejo
Vila Nova de São Bento e Vale de Vargo,CH,1.89,1.96,32,Serpa,Beja,Alentejo
Vila Nova de São Bento e Vale de Vargo,PCTP/MRPP,1.83,1.9,31,Serpa,Beja,Alentejo
Vila Nova de São Bento e Vale de Vargo,PAN,1.24,1.29,21,Serpa,Beja,Alentejo
Vila Nova de São Bento e Vale de Vargo,PNR,0.71,0.73,12,Serpa,Beja,Alentejo
Vila Nova de São Bento e Vale de Vargo,L,0.47,0.49,8,Serpa,Beja,Alentejo
Vila Nova de São Bento e Vale de Vargo,A,0.41,0.43,7,Serpa,Beja,Alentejo
Vila Nova de São Bento e Vale de Vargo,PPM,0.29,0.31,5,Serpa,Beja,Alentejo
Vila Nova de São Bento e Vale de Vargo,MPT,0.24,0.24,4,Serpa,Beja,Alentejo
Vila Nova de São Bento e Vale de Vargo,IL,0.18,0.18,3,Serpa,Beja,Alentejo
Vila Nova de São Bento e Vale de Vargo,NC,0.18,0.18,3,Serpa,Beja,Alentejo
Vila Nova de São Bento e Vale de Vargo,PTP,0.06,0.06,1,Serpa,Beja,Alentejo
Vila Nova de São Bento e Vale de Vargo,PDR,0.0,0.0,0,Serpa,Beja,Alentejo
Pedrógão,PS,42.44,42.96,174,Vidigueira,Beja,Alentejo
Pedrógão,PCP-PEV,39.02,39.51,160,Vidigueira,Beja,Alentejo
Pedrógão,B.E.,7.56,7.65,31,Vidigueira,Beja,Alentejo
Pedrógão,PPD/PSD,3.41,3.46,14,Vidigueira,Beja,Alentejo
Pedrógão,PCTP/MRPP,2.44,2.47,10,Vidigueira,Beja,Alentejo
Pedrógão,CH,1.95,1.98,8,Vidigueira,Beja,Alentejo
Pedrógão,PAN,0.98,0.99,4,Vidigueira,Beja,Alentejo
Pedrógão,A,0.24,0.25,1,Vidigueira,Beja,Alentejo
Pedrógão,CDS-PP,0.24,0.25,1,Vidigueira,Beja,Alentejo
Pedrógão,PDR,0.24,0.25,1,Vidigueira,Beja,Alentejo
Pedrógão,PTP,0.24,0.25,1,Vidigueira,Beja,Alentejo
Pedrógão,IL,0.0,0.0,0,Vidigueira,Beja,Alentejo
Pedrógão,L,0.0,0.0,0,Vidigueira,Beja,Alentejo
Pedrógão,MPT,0.0,0.0,0,Vidigueira,Beja,Alentejo
Pedrógão,NC,0.0,0.0,0,Vidigueira,Beja,Alentejo
Pedrógão,PNR,0.0,0.0,0,Vidigueira,Beja,Alentejo
Pedrógão,PPM,0.0,0.0,0,Vidigueira,Beja,Alentejo
Selmes,PS,53.16,55.26,168,Vidigueira,Beja,Alentejo
Selmes,PCP-PEV,20.25,21.05,64,Vidigueira,Beja,Alentejo
Selmes,B.E.,6.65,6.91,21,Vidigueira,Beja,Alentejo
Selmes,PPD/PSD,6.33,6.58,20,Vidigueira,Beja,Alentejo
Selmes,CDS-PP,1.9,1.97,6,Vidigueira,Beja,Alentejo
Selmes,PCTP/MRPP,1.9,1.97,6,Vidigueira,Beja,Alentejo
Selmes,PAN,1.58,1.64,5,Vidigueira,Beja,Alentejo
Selmes,CH,0.95,0.99,3,Vidigueira,Beja,Alentejo
Selmes,L,0.95,0.99,3,Vidigueira,Beja,Alentejo
Selmes,PPM,0.95,0.99,3,Vidigueira,Beja,Alentejo
Selmes,A,0.63,0.66,2,Vidigueira,Beja,Alentejo
Selmes,MPT,0.32,0.33,1,Vidigueira,Beja,Alentejo
Selmes,NC,0.32,0.33,1,Vidigueira,Beja,Alentejo
Selmes,PNR,0.32,0.33,1,Vidigueira,Beja,Alentejo
Selmes,IL,0.0,0.0,0,Vidigueira,Beja,Alentejo
Selmes,PDR,0.0,0.0,0,Vidigueira,Beja,Alentejo
Selmes,PTP,0.0,0.0,0,Vidigueira,Beja,Alentejo
Vidigueira,PS,42.02,44.42,482,Vidigueira,Beja,Alentejo
Vidigueira,PCP-PEV,18.4,19.45,211,Vidigueira,Beja,Alentejo
Vidigueira,PPD/PSD,17.52,18.53,201,Vidigueira,Beja,Alentejo
Vidigueira,B.E.,6.63,7.0,76,Vidigueira,Beja,Alentejo
Vidigueira,CDS-PP,2.53,2.67,29,Vidigueira,Beja,Alentejo
Vidigueira,CH,2.35,2.49,27,Vidigueira,Beja,Alentejo
Vidigueira,PAN,1.92,2.03,22,Vidigueira,Beja,Alentejo
Vidigueira,PCTP/MRPP,1.05,1.11,12,Vidigueira,Beja,Alentejo
Vidigueira,IL,0.61,0.65,7,Vidigueira,Beja,Alentejo
Vidigueira,A,0.52,0.55,6,Vidigueira,Beja,Alentejo
Vidigueira,MPT,0.26,0.28,3,Vidigueira,Beja,Alentejo
Vidigueira,NC,0.26,0.28,3,Vidigueira,Beja,Alentejo
Vidigueira,L,0.17,0.18,2,Vidigueira,Beja,Alentejo
Vidigueira,PNR,0.17,0.18,2,Vidigueira,Beja,Alentejo
Vidigueira,PPM,0.09,0.09,1,Vidigueira,Beja,Alentejo
Vidigueira,PTP,0.09,0.09,1,Vidigueira,Beja,Alentejo
Vidigueira,PDR,0.0,0.0,0,Vidigueira,Beja,Alentejo
Vila de Frades,PS,43.58,44.55,180,Vidigueira,Beja,Alentejo
Vila de Frades,PCP-PEV,25.42,25.99,105,Vidigueira,Beja,Alentejo
Vila de Frades,PPD/PSD,9.2,9.41,38,Vidigueira,Beja,Alentejo
Vila de Frades,B.E.,8.96,9.16,37,Vidigueira,Beja,Alentejo
Vila de Frades,PAN,2.91,2.97,12,Vidigueira,Beja,Alentejo
Vila de Frades,CDS-PP,1.94,1.98,8,Vidigueira,Beja,Alentejo
Vila de Frades,PCTP/MRPP,1.94,1.98,8,Vidigueira,Beja,Alentejo
Vila de Frades,A,0.73,0.74,3,Vidigueira,Beja,Alentejo
Vila de Frades,IL,0.73,0.74,3,Vidigueira,Beja,Alentejo
Vila de Frades,L,0.73,0.74,3,Vidigueira,Beja,Alentejo
Vila de Frades,MPT,0.48,0.5,2,Vidigueira,Beja,Alentejo
Vila de Frades,PNR,0.48,0.5,2,Vidigueira,Beja,Alentejo
Vila de Frades,CH,0.24,0.25,1,Vidigueira,Beja,Alentejo
Vila de Frades,PDR,0.24,0.25,1,Vidigueira,Beja,Alentejo
Vila de Frades,PPM,0.24,0.25,1,Vidigueira,Beja,Alentejo
Vila de Frades,NC,0.0,0.0,0,Vidigueira,Beja,Alentejo
Vila de Frades,PTP,0.0,0.0,0,Vidigueira,Beja,Alentejo
Barreiros,PPD/PSD,43.69,46.87,187,Amares,Braga,Norte
Barreiros,PS,27.1,29.07,116,Amares,Braga,Norte
Barreiros,B.E.,7.48,8.02,32,Amares,Braga,Norte
Barreiros,CDS-PP,7.24,7.77,31,Amares,Braga,Norte
Barreiros,PAN,1.87,2.01,8,Amares,Braga,Norte
Barreiros,PCP-PEV,1.4,1.5,6,Amares,Braga,Norte
Barreiros,PCTP/MRPP,0.7,0.75,3,Amares,Braga,Norte
Barreiros,R.I.R.,0.7,0.75,3,Amares,Braga,Norte
Barreiros,CH,0.47,0.5,2,Amares,Braga,Norte
Barreiros,IL,0.47,0.5,2,Amares,Braga,Norte
Barreiros,PDR,0.47,0.5,2,Amares,Braga,Norte
Barreiros,A,0.23,0.25,1,Amares,Braga,Norte
Barreiros,L,0.23,0.25,1,Amares,Braga,Norte
Barreiros,MAS,0.23,0.25,1,Amares,Braga,Norte
Barreiros,MPT,0.23,0.25,1,Amares,Braga,Norte
Barreiros,NC,0.23,0.25,1,Amares,Braga,Norte
Barreiros,PNR,0.23,0.25,1,Amares,Braga,Norte
Barreiros,PPM,0.23,0.25,1,Amares,Braga,Norte
Barreiros,JPP,0.0,0.0,0,Amares,Braga,Norte
Barreiros,PTP,0.0,0.0,0,Amares,Braga,Norte
Barreiros,PURP,0.0,0.0,0,Amares,Braga,Norte
Bico,PS,35.34,37.9,141,Amares,Braga,Norte
Bico,PPD/PSD,29.32,31.45,117,Amares,Braga,Norte
Bico,CDS-PP,9.02,9.68,36,Amares,Braga,Norte
Bico,B.E.,7.02,7.53,28,Amares,Braga,Norte
Bico,PAN,2.76,2.96,11,Amares,Braga,Norte
Bico,CH,2.01,2.15,8,Amares,Braga,Norte
Bico,PCP-PEV,2.01,2.15,8,Amares,Braga,Norte
Bico,IL,1.25,1.34,5,Amares,Braga,Norte
Bico,R.I.R.,1.0,1.08,4,Amares,Braga,Norte
Bico,A,0.75,0.81,3,Amares,Braga,Norte
Bico,L,0.75,0.81,3,Amares,Braga,Norte
Bico,PDR,0.75,0.81,3,Amares,Braga,Norte
Bico,PCTP/MRPP,0.5,0.54,2,Amares,Braga,Norte
Bico,JPP,0.25,0.27,1,Amares,Braga,Norte
Bico,NC,0.25,0.27,1,Amares,Braga,Norte
Bico,PNR,0.25,0.27,1,Amares,Braga,Norte
Bico,MAS,0.0,0.0,0,Amares,Braga,Norte
Bico,MPT,0.0,0.0,0,Amares,Braga,Norte
Bico,PPM,0.0,0.0,0,Amares,Braga,Norte
Bico,PTP,0.0,0.0,0,Amares,Braga,Norte
Bico,PURP,0.0,0.0,0,Amares,Braga,Norte
Caires,PS,36.89,39.13,180,Amares,Braga,Norte
Caires,PPD/PSD,36.27,38.48,177,Amares,Braga,Norte
Caires,CDS-PP,5.94,6.3,29,Amares,Braga,Norte
Caires,B.E.,5.33,5.65,26,Amares,Braga,Norte
Caires,PCP-PEV,2.25,2.39,11,Amares,Braga,Norte
Caires,PAN,2.05,2.17,10,Amares,Braga,Norte
Caires,PCTP/MRPP,1.23,1.3,6,Amares,Braga,Norte
Caires,R.I.R.,1.02,1.09,5,Amares,Braga,Norte
Caires,CH,0.82,0.87,4,Amares,Braga,Norte
Caires,A,0.41,0.43,2,Amares,Braga,Norte
Caires,L,0.41,0.43,2,Amares,Braga,Norte
Caires,MPT,0.41,0.43,2,Amares,Braga,Norte
Caires,PNR,0.41,0.43,2,Amares,Braga,Norte
Caires,MAS,0.2,0.22,1,Amares,Braga,Norte
Caires,NC,0.2,0.22,1,Amares,Braga,Norte
Caires,PDR,0.2,0.22,1,Amares,Braga,Norte
Caires,PPM,0.2,0.22,1,Amares,Braga,Norte
Caires,IL,0.0,0.0,0,Amares,Braga,Norte
Caires,JPP,0.0,0.0,0,Amares,Braga,Norte
Caires,PTP,0.0,0.0,0,Amares,Braga,Norte
Caires,PURP,0.0,0.0,0,Amares,Braga,Norte
Carrazedo,PPD/PSD,37.63,39.95,149,Amares,Braga,Norte
Carrazedo,PS,36.11,38.34,143,Amares,Braga,Norte
Carrazedo,CDS-PP,8.33,8.85,33,Amares,Braga,Norte
Carrazedo,B.E.,4.55,4.83,18,Amares,Braga,Norte
Carrazedo,PAN,2.02,2.14,8,Amares,Braga,Norte
Carrazedo,PCP-PEV,2.02,2.14,8,Amares,Braga,Norte
Carrazedo,CH,1.01,1.07,4,Amares,Braga,Norte
Carrazedo,IL,0.51,0.54,2,Amares,Braga,Norte
Carrazedo,A,0.25,0.27,1,Amares,Braga,Norte
Carrazedo,L,0.25,0.27,1,Amares,Braga,Norte
Carrazedo,MPT,0.25,0.27,1,Amares,Braga,Norte
Carrazedo,NC,0.25,0.27,1,Amares,Braga,Norte
Carrazedo,PCTP/MRPP,0.25,0.27,1,Amares,Braga,Norte
Carrazedo,PPM,0.25,0.27,1,Amares,Braga,Norte
Carrazedo,PURP,0.25,0.27,1,Amares,Braga,Norte
Carrazedo,R.I.R.,0.25,0.27,1,Amares,Braga,Norte
Carrazedo,JPP,0.0,0.0,0,Amares,Braga,Norte
Carrazedo,MAS,0.0,0.0,0,Amares,Braga,Norte
Carrazedo,PDR,0.0,0.0,0,Amares,Braga,Norte
Carrazedo,PNR,0.0,0.0,0,Amares,Braga,Norte
Carrazedo,PTP,0.0,0.0,0,Amares,Braga,Norte
Dornelas,PPD/PSD,40.07,43.43,119,Amares,Braga,Norte
Dornelas,PS,30.64,33.21,91,Amares,Braga,Norte
Dornelas,CDS-PP,7.41,8.03,22,Amares,Braga,Norte
Dornelas,B.E.,4.04,4.38,12,Amares,Braga,Norte
Dornelas,L,2.02,2.19,6,Amares,Braga,Norte
Dornelas,PAN,1.68,1.82,5,Amares,Braga,Norte
Dornelas,R.I.R.,1.68,1.82,5,Amares,Braga,Norte
Dornelas,A,1.35,1.46,4,Amares,Braga,Norte
Dornelas,CH,1.35,1.46,4,Amares,Braga,Norte
Dornelas,IL,0.67,0.73,2,Amares,Braga,Norte
Dornelas,NC,0.67,0.73,2,Amares,Braga,Norte
Dornelas,PCP-PEV,0.34,0.36,1,Amares,Braga,Norte
Dornelas,PDR,0.34,0.36,1,Amares,Braga,Norte
Dornelas,JPP,0.0,0.0,0,Amares,Braga,Norte
Dornelas,MAS,0.0,0.0,0,Amares,Braga,Norte
Dornelas,MPT,0.0,0.0,0,Amares,Braga,Norte
Dornelas,PCTP/MRPP,0.0,0.0,0,Amares,Braga,Norte
Dornelas,PNR,0.0,0.0,0,Amares,Braga,Norte
Dornelas,PPM,0.0,0.0,0,Amares,Braga,Norte
Dornelas,PTP,0.0,0.0,0,Amares,Braga,Norte
Dornelas,PURP,0.0,0.0,0,Amares,Braga,Norte
Fiscal,PPD/PSD,43.78,46.68,176,Amares,Braga,Norte
Fiscal,PS,25.37,27.06,102,Amares,Braga,Norte
Fiscal,B.E.,7.71,8.22,31,Amares,Braga,Norte
Fiscal,CDS-PP,7.46,7.96,30,Amares,Braga,Norte
Fiscal,PCP-PEV,3.48,3.71,14,Amares,Braga,Norte
Fiscal,PAN,1.49,1.59,6,Amares,Braga,Norte
Fiscal,PCTP/MRPP,1.0,1.06,4,Amares,Braga,Norte
Fiscal,IL,0.75,0.8,3,Amares,Braga,Norte
Fiscal,R.I.R.,0.75,0.8,3,Amares,Braga,Norte
Fiscal,CH,0.5,0.53,2,Amares,Braga,Norte
Fiscal,L,0.5,0.53,2,Amares,Braga,Norte
Fiscal,JPP,0.25,0.27,1,Amares,Braga,Norte
Fiscal,MPT,0.25,0.27,1,Amares,Braga,Norte
Fiscal,PDR,0.25,0.27,1,Amares,Braga,Norte
Fiscal,PNR,0.25,0.27,1,Amares,Braga,Norte
Fiscal,A,0.0,0.0,0,Amares,Braga,Norte
Fiscal,MAS,0.0,0.0,0,Amares,Braga,Norte
Fiscal,NC,0.0,0.0,0,Amares,Braga,Norte
Fiscal,PPM,0.0,0.0,0,Amares,Braga,Norte
Fiscal,PTP,0.0,0.0,0,Amares,Braga,Norte
Fiscal,PURP,0.0,0.0,0,Amares,Braga,Norte
Goães,PPD/PSD,43.75,45.94,147,Amares,Braga,Norte
Goães,PS,31.25,32.81,105,Amares,Braga,Norte
Goães,CDS-PP,7.14,7.5,24,Amares,Braga,Norte
Goães,B.E.,6.55,6.88,22,Amares,Braga,Norte
Goães,R.I.R.,1.49,1.56,5,Amares,Braga,Norte
Goães,A,0.89,0.94,3,Amares,Braga,Norte
Goães,PAN,0.89,0.94,3,Amares,Braga,Norte
Goães,IL,0.6,0.63,2,Amares,Braga,Norte
Goães,PCP-PEV,0.6,0.63,2,Amares,Braga,Norte
Goães,PCTP/MRPP,0.6,0.63,2,Amares,Braga,Norte
Goães,CH,0.3,0.31,1,Amares,Braga,Norte
Goães,MPT,0.3,0.31,1,Amares,Braga,Norte
Goães,PDR,0.3,0.31,1,Amares,Braga,Norte
Goães,PNR,0.3,0.31,1,Amares,Braga,Norte
Goães,PPM,0.3,0.31,1,Amares,Braga,Norte
Goães,JPP,0.0,0.0,0,Amares,Braga,Norte
Goães,L,0.0,0.0,0,Amares,Braga,Norte
Goães,MAS,0.0,0.0,0,Amares,Braga,Norte
Goães,NC,0.0,0.0,0,Amares,Braga,Norte
Goães,PTP,0.0,0.0,0,Amares,Braga,Norte
Goães,PURP,0.0,0.0,0,Amares,Braga,Norte
Lago,PS,39.96,42.05,394,Amares,Braga,Norte
Lago,PPD/PSD,29.21,30.74,288,Amares,Braga,Norte
Lago,B.E.,9.13,9.61,90,Amares,Braga,Norte
Lago,CDS-PP,5.27,5.55,52,Amares,Braga,Norte
Lago,PCP-PEV,2.94,3.09,29,Amares,Braga,Norte
Lago,PAN,2.54,2.67,25,Amares,Braga,Norte
Lago,CH,1.42,1.49,14,Amares,Braga,Norte
Lago,IL,1.42,1.49,14,Amares,Braga,Norte
Lago,R.I.R.,0.71,0.75,7,Amares,Braga,Norte
Lago,A,0.51,0.53,5,Amares,Braga,Norte
Lago,L,0.51,0.53,5,Amares,Braga,Norte
Lago,MPT,0.51,0.53,5,Amares,Braga,Norte
Lago,PCTP/MRPP,0.3,0.32,3,Amares,Braga,Norte
Lago,PURP,0.2,0.21,2,Amares,Braga,Norte
Lago,JPP,0.1,0.11,1,Amares,Braga,Norte
Lago,PNR,0.1,0.11,1,Amares,Braga,Norte
Lago,PPM,0.1,0.11,1,Amares,Braga,Norte
Lago,PTP,0.1,0.11,1,Amares,Braga,Norte
Lago,MAS,0.0,0.0,0,Amares,Braga,Norte
Lago,NC,0.0,0.0,0,Amares,Braga,Norte
Lago,PDR,0.0,0.0,0,Amares,Braga,Norte
Rendufe,PPD/PSD,39.35,41.78,244,Amares,Braga,Norte
Rendufe,PS,32.9,34.93,204,Amares,Braga,Norte
Rendufe,CDS-PP,6.94,7.36,43,Amares,Braga,Norte
Rendufe,B.E.,4.19,4.45,26,Amares,Braga,Norte
Rendufe,PAN,2.9,3.08,18,Amares,Braga,Norte
Rendufe,PCP-PEV,2.74,2.91,17,Amares,Braga,Norte
Rendufe,L,1.13,1.2,7,Amares,Braga,Norte
Rendufe,R.I.R.,1.13,1.2,7,Amares,Braga,Norte
Rendufe,CH,0.97,1.03,6,Amares,Braga,Norte
Rendufe,A,0.81,0.86,5,Amares,Braga,Norte
Rendufe,PCTP/MRPP,0.48,0.51,3,Amares,Braga,Norte
Rendufe,MPT,0.32,0.34,2,Amares,Braga,Norte
Rendufe,NC,0.16,0.17,1,Amares,Braga,Norte
Rendufe,PDR,0.16,0.17,1,Amares,Braga,Norte
Rendufe,IL,0.0,0.0,0,Amares,Braga,Norte
Rendufe,JPP,0.0,0.0,0,Amares,Braga,Norte
Rendufe,MAS,0.0,0.0,0,Amares,Braga,Norte
Rendufe,PNR,0.0,0.0,0,Amares,Braga,Norte
Rendufe,PPM,0.0,0.0,0,Amares,Braga,Norte
Rendufe,PTP,0.0,0.0,0,Amares,Braga,Norte
Rendufe,PURP,0.0,0.0,0,Amares,Braga,Norte
Bouro (Santa Maria),PPD/PSD,41.0,42.2,173,Amares,Braga,Norte
Bouro (Santa Maria),PS,36.26,37.32,153,Amares,Braga,Norte
Bouro (Santa Maria),CDS-PP,4.98,5.12,21,Amares,Braga,Norte
Bouro (Santa Maria),B.E.,4.27,4.39,18,Amares,Braga,Norte
Bouro (Santa Maria),PCP-PEV,2.84,2.93,12,Amares,Braga,Norte
Bouro (Santa Maria),PAN,2.13,2.2,9,Amares,Braga,Norte
Bouro (Santa Maria),CH,0.95,0.98,4,Amares,Braga,Norte
Bouro (Santa Maria),PNR,0.95,0.98,4,Amares,Braga,Norte
Bouro (Santa Maria),NC,0.71,0.73,3,Amares,Braga,Norte
Bouro (Santa Maria),PCTP/MRPP,0.71,0.73,3,Amares,Braga,Norte
Bouro (Santa Maria),MPT,0.47,0.49,2,Amares,Braga,Norte
Bouro (Santa Maria),PDR,0.47,0.49,2,Amares,Braga,Norte
Bouro (Santa Maria),R.I.R.,0.47,0.49,2,Amares,Braga,Norte
Bouro (Santa Maria),IL,0.24,0.24,1,Amares,Braga,Norte
Bouro (Santa Maria),L,0.24,0.24,1,Amares,Braga,Norte
Bouro (Santa Maria),MAS,0.24,0.24,1,Amares,Braga,Norte
Bouro (Santa Maria),PURP,0.24,0.24,1,Amares,Braga,Norte
Bouro (Santa Maria),A,0.0,0.0,0,Amares,Braga,Norte
Bouro (Santa Maria),JPP,0.0,0.0,0,Amares,Braga,Norte
Bouro (Santa Maria),PPM,0.0,0.0,0,Amares,Braga,Norte
Bouro (Santa Maria),PTP,0.0,0.0,0,Amares,Braga,Norte
Bouro (Santa Marta),PPD/PSD,44.78,47.33,133,Amares,Braga,Norte
Bouro (Santa Marta),PS,31.99,33.81,95,Amares,Braga,Norte
Bouro (Santa Marta),CDS-PP,4.71,4.98,14,Amares,Braga,Norte
Bouro (Santa Marta),B.E.,3.7,3.91,11,Amares,Braga,Norte
Bouro (Santa Marta),PCP-PEV,3.7,3.91,11,Amares,Braga,Norte
Bouro (Santa Marta),CH,2.36,2.49,7,Amares,Braga,Norte
Bouro (Santa Marta),R.I.R.,1.01,1.07,3,Amares,Braga,Norte
Bouro (Santa Marta),IL,0.34,0.36,1,Amares,Braga,Norte
Bouro (Santa Marta),JPP,0.34,0.36,1,Amares,Braga,Norte
Bouro (Santa Marta),L,0.34,0.36,1,Amares,Braga,Norte
Bouro (Santa Marta),MPT,0.34,0.36,1,Amares,Braga,Norte
Bouro (Santa Marta),NC,0.34,0.36,1,Amares,Braga,Norte
Bouro (Santa Marta),PAN,0.34,0.36,1,Amares,Braga,Norte
Bouro (Santa Marta),PCTP/MRPP,0.34,0.36,1,Amares,Braga,Norte
Bouro (Santa Marta),A,0.0,0.0,0,Amares,Braga,Norte
Bouro (Santa Marta),MAS,0.0,0.0,0,Amares,Braga,Norte
Bouro (Santa Marta),PDR,0.0,0.0,0,Amares,Braga,Norte
Bouro (Santa Marta),PNR,0.0,0.0,0,Amares,Braga,Norte
Bouro (Santa Marta),PPM,0.0,0.0,0,Amares,Braga,Norte
Bouro (Santa Marta),PTP,0.0,0.0,0,Amares,Braga,Norte
Bouro (Santa Marta),PURP,0.0,0.0,0,Amares,Braga,Norte
Amares e Figueiredo,PS,39.8,42.86,570,Amares,Braga,Norte
Amares e Figueiredo,PPD/PSD,31.49,33.91,451,Amares,Braga,Norte
Amares e Figueiredo,B.E.,7.19,7.74,103,Amares,Braga,Norte
