Data,Freguesia,Código Territorial,Total Mandatos,Mandatos Disponíveis,Votos Brancos,Percentagem Votos Brancos,Votos Nulos,Percentagem Votos Nulos,Percentagem Votantes,Votantes Inscritos,Total de Votos,Concelho,Distrito,Região
2019-12-03 11:13:36,Belinho e Mar,LOCAL-030617,0.0,0,59,3.72,40,2.53,51.66,3066,1584,Esposende,Braga,Norte
2019-12-03 11:13:36,"Esposende, Marinhas e Gandra",LOCAL-030618,0.0,0,171,2.71,118,1.87,56.77,11131,6319,Esposende,Braga,Norte
2019-12-03 11:13:36,Fonte Boa e Rio Tinto,LOCAL-030619,0.0,0,25,2.28,16,1.46,65.91,1666,1098,Esposende,Braga,Norte
2019-12-03 11:13:36,Palmeira de Faro e Curvos,LOCAL-030620,0.0,0,49,2.9,39,2.31,58.78,2870,1687,Esposende,Braga,Norte
2019-12-03 11:13:36,Armil,LOCAL-030705,0.0,0,14,3.08,5,1.1,66.86,679,454,Fafe,Braga,Norte
2019-12-03 11:13:36,Estorãos,LOCAL-030708,0.0,0,18,1.86,22,2.27,50.29,1927,969,Fafe,Braga,Norte
2019-12-03 11:13:36,Fafe,LOCAL-030709,0.0,0,249,2.88,170,1.96,56.74,15249,8653,Fafe,Braga,Norte
2019-12-03 11:13:36,Fornelos,LOCAL-030712,0.0,0,13,1.74,7,0.93,52.12,1437,749,Fafe,Braga,Norte
2019-12-03 11:13:36,Golães,LOCAL-030714,0.0,0,37,3.24,17,1.49,54.52,2093,1141,Fafe,Braga,Norte
2019-12-03 11:13:36,Medelo,LOCAL-030716,0.0,0,28,3.55,26,3.3,57.13,1381,789,Fafe,Braga,Norte
2019-12-03 11:13:36,Passos,LOCAL-030719,0.0,0,15,2.91,9,1.74,51.19,1008,516,Fafe,Braga,Norte
2019-12-03 11:13:36,Quinchães,LOCAL-030722,0.0,0,36,2.9,22,1.77,58.38,2129,1243,Fafe,Braga,Norte
2019-12-03 11:13:36,Regadas,LOCAL-030723,0.0,0,25,2.69,16,1.72,59.03,1572,928,Fafe,Braga,Norte
2019-12-03 11:13:36,Revelhe,LOCAL-030724,0.0,0,15,3.96,4,1.06,50.53,750,379,Fafe,Braga,Norte
2019-12-03 11:13:36,Ribeiros,LOCAL-030725,0.0,0,9,2.6,6,1.73,59.35,583,346,Fafe,Braga,Norte
2019-12-03 11:13:36,Arões (Santa Cristina),LOCAL-030726,0.0,0,20,2.81,9,1.27,51.6,1378,711,Fafe,Braga,Norte
2019-12-03 11:13:36,São Gens,LOCAL-030728,0.0,0,20,2.12,16,1.7,54.67,1725,943,Fafe,Braga,Norte
2019-12-03 11:13:36,Silvares (São Martinho),LOCAL-030729,0.0,0,17,2.2,13,1.68,62.88,1231,774,Fafe,Braga,Norte
2019-12-03 11:13:36,Arões (São Romão),LOCAL-030730,0.0,0,61,3.53,23,1.33,52.22,3309,1728,Fafe,Braga,Norte
2019-12-03 11:13:36,Travassós,LOCAL-030733,0.0,0,30,4.06,19,2.57,44.38,1665,739,Fafe,Braga,Norte
2019-12-03 11:13:36,Vinhós,LOCAL-030736,0.0,0,6,1.72,5,1.43,51.25,681,349,Fafe,Braga,Norte
2019-12-03 11:13:36,"Aboim, Felgueiras, Gontim e Pedraído",LOCAL-030737,0.0,0,14,2.77,8,1.58,44.74,1131,506,Fafe,Braga,Norte
2019-12-03 11:13:36,Agrela e Serafão,LOCAL-030738,0.0,0,21,3.13,7,1.04,54.96,1219,670,Fafe,Braga,Norte
2019-12-03 11:13:36,Antime e Silvares (São Clemente),LOCAL-030739,0.0,0,27,2.17,20,1.61,63.35,1962,1243,Fafe,Braga,Norte
2019-12-03 11:13:36,"Ardegão, Arnozela e Seidões",LOCAL-030740,0.0,0,15,2.5,10,1.67,53.24,1125,599,Fafe,Braga,Norte
2019-12-03 11:13:36,Cepães e Fareja,LOCAL-030741,0.0,0,39,3.42,18,1.58,56.21,2030,1141,Fafe,Braga,Norte
2019-12-03 11:13:36,Freitas e Vila Cova,LOCAL-030742,0.0,0,2,0.47,10,2.35,51.52,825,425,Fafe,Braga,Norte
2019-12-03 11:13:36,Monte e Queimadela,LOCAL-030743,0.0,0,9,2.17,8,1.93,35.23,1178,415,Fafe,Braga,Norte
2019-12-03 11:13:36,Moreira do Rei e Várzea Cova,LOCAL-030744,0.0,0,30,2.89,8,0.77,51.51,2017,1039,Fafe,Braga,Norte
2019-12-03 11:13:36,Aldão,LOCAL-030801,0.0,0,24,3.18,15,1.99,61.9,1218,754,Guimarães,Braga,Norte
2019-12-03 11:13:36,Azurém,LOCAL-030804,0.0,0,153,3.19,42,0.88,62.25,7698,4792,Guimarães,Braga,Norte
2019-12-03 11:13:36,Barco,LOCAL-030806,0.0,0,41,5.18,13,1.64,57.27,1383,792,Guimarães,Braga,Norte
2019-12-03 11:13:36,Brito,LOCAL-030807,0.0,0,85,3.06,41,1.48,64.25,4324,2778,Guimarães,Braga,Norte
2019-12-03 11:13:36,Caldelas,LOCAL-030808,0.0,0,114,3.22,54,1.52,59.64,5939,3542,Guimarães,Braga,Norte
2019-12-03 11:13:36,Costa,LOCAL-030812,0.0,0,88,3.06,35,1.22,67.48,4259,2874,Guimarães,Braga,Norte
2019-12-03 11:13:36,Creixomil,LOCAL-030813,0.0,0,144,2.58,65,1.16,63.37,8817,5587,Guimarães,Braga,Norte
2019-12-03 11:13:36,Fermentões,LOCAL-030815,0.0,0,99,3.31,30,1.0,59.44,5032,2991,Guimarães,Braga,Norte
2019-12-03 11:13:36,Gonça,LOCAL-030820,0.0,0,13,2.28,8,1.4,65.29,873,570,Guimarães,Braga,Norte
2019-12-03 11:13:36,Gondar,LOCAL-030821,0.0,0,46,3.05,18,1.19,63.71,2367,1508,Guimarães,Braga,Norte
